torre_id,datalog_id,canal_conexion_dl,sensor_id,altura_medicion,descripcion,unidades,numero_serie,marca,modelo,slope,offset,long_brazo_horizontal,long_brazo_vertical,orientacion,tipo,clase_sensor,anio_instalacion,fecha_instalacion,fecha_certificacion,fecha_calibracion,duracion_calibracion,activo
TPI-T3,TPI-T3-DatLog-1,2,TPI-T3-A-2,78.0,anemometro                              ,m/s,1208477,Thies Clima,4.3351.10.000,0.04599,0.2514,1.85,0.952,185.0,Horizontal                              ,Clase I                                 ,2016.0,,2016-05-06,,,True
TPI-T3,TPI-T3-DatLog-1,3,TPI-T3-A-3,60.0,anemometro                              ,m/s,1208466,Thies Clima,4.3351.10.000,0.046,0.244,1.85,0.952,185.0,Horizontal                              ,Clase I                                 ,2016.0,,2016-05-06,,,True
HPA-T2,HPA-T2-DatLog-1,999,HPA-T2-V-1,78.7,veleta                                  ,deg,1799-00033423,NRG,1799,,,3.0,1.05,,,,2020.0,,,,,True
TRE-010,HNA-T1-DatLog-1,20,HNA-T1-A-5,93.0,anemometro                              ,m/s,5161356,RM Young Company,27106T,18.0709,0.0504,2.0,,182.0,Vertical                                ,Clase I                                 ,2019.0,,2019-03-07,,,True
TRE-009,GNSR_T9-DatLog-1,1,GNSR_T9-A-1,40.0,anemometro                              ,m/s,5161358,Thies Clima,4.3351.10.000,0.04606,0.2186,,2.0,0.0,Horizontal                              ,Clase I                                 ,2019.0,,2019-02-14,,,True
TRE-010,HNA-T1-DatLog-1,3,HNA-T1-A-3,70.0,anemometro                              ,m/s,5161365,Thies Clima,4.3351.10.000,0.04629,0.216,2.0,,182.0,Horizontal                              ,Clase I                                 ,2019.0,,2019-03-07,,,True
TRE-013,TPI-T1-DatLog-1,3,TPI-T1-A-3,60.0,anemometro                              ,m/s,1208471,Thies Clima,4.3351.10.000,0.04599,0.2219,2.0,0.95,186.0,Horizontal                              ,Clase I                                 ,2019.0,,2018-03-06,,,True
TRE-013,TPI-T1-DatLog-1,4,TPI-T1-A-4,40.0,anemometro                              ,m/s,1208473,Thies Clima,4.3351.10.000,0.04594,0.2339,2.0,0.95,186.0,Horizontal                              ,Clase I                                 ,2019.0,,2018-03-06,,,True
TPI-T3,TPI-T3-DatLog-1,4,TPI-T3-A-4,40.0,anemometro                              ,m/s,1208472,Thies Clima,4.3351.10.000,0.04603,0.2372,1.85,0.952,185.0,Horizontal                              ,Clase I                                 ,2016.0,,2016-05-06,,,True
TPI-T3,TPI-T3-DatLog-1,26,TPI-T3-A-5,75.0,anemometro                              ,m/s,7318,RM Young Company,27106T,18.0,0.0,1.85,0.952,185.0,Vertical                                ,,2016.0,,,,,True
TPI-T4,TPI-T4-DatLog-1,1,TPI-T4-A-1,80.0,anemometro                              ,m/s,20497,Thies Clima,4.3351.10.000,0.046,0.2415,0.0,1.7,0.0,Horizontal                              ,Clase I                                 ,2016.0,,2016-05-06,,,True
TPI-T4,TPI-T4-DatLog-1,2,TPI-T4-A-2,78.0,anemometro                              ,m/s,1.80E+11,Thies Clima,4.3351.10.000,0.04602,0.2417,1.85,0.952,190.0,Horizontal                              ,Clase I                                 ,2016.0,,2016-05-06,,,True
TPI-T4,TPI-T4-DatLog-1,3,TPI-T4-A-3,60.0,anemometro                              ,m/s,1.80E+11,Thies Clima,4.3351.10.000,0.04603,0.2482,1.85,0.952,190.0,Horizontal                              ,Clase I                                 ,2016.0,,2016-05-06,,,True
TPI-T4,TPI-T4-DatLog-1,4,TPI-T4-A-4,40.0,anemometro                              ,m/s,PA6495,Thies Clima,4.3351.10.000,0.04595,0.249,1.85,0.952,190.0,Horizontal                              ,Clase I                                 ,2016.0,,2016-05-06,,,True
TPI-T4,TPI-T4-DatLog-1,26,TPI-T4-A-5,75.0,anemometro                              ,m/s,S/S,RM Young Company,27106T,18.0,0.0,1.85,0.952,190.0,Vertical                                ,,2016.0,,,,,True
TPI-T5,TPI-T5-DatLog-1,1,TPI-T5-A-1,80.0,anemometro                              ,m/s,5161356,Thies Clima,4.3351.10.000,0.04607,0.2315,0.0,1.7,0.0,Horizontal                              ,Clase I                                 ,2016.0,,2016-05-06,,,True
TPI-T5,TPI-T5-DatLog-1,2,TPI-T5-A-2,78.0,anemometro                              ,m/s,5161355,Thies Clima,4.3351.10.000,0.04594,0.2492,1.85,0.952,180.0,Horizontal                              ,Clase I                                 ,2016.0,,2016-05-06,,,True
TPI-T5,TPI-T5-DatLog-1,3,TPI-T5-A-3,60.0,anemometro                              ,m/s,5161354,Thies Clima,4.3351.10.000,0.04595,0.2495,1.85,0.952,180.0,Horizontal                              ,Clase I                                 ,2016.0,,2016-05-06,,,True
